# Disease ID	"Disease Name"	Gene ID
C0036095	"Salivary Gland Neoplasms"	1462
C0036095	"Salivary Gland Neoplasms"	1612
C0036095	"Salivary Gland Neoplasms"	182
C0036095	"Salivary Gland Neoplasms"	2011
C0036095	"Salivary Gland Neoplasms"	2019
C0036095	"Salivary Gland Neoplasms"	2175
C0036095	"Salivary Gland Neoplasms"	2195
C0036095	"Salivary Gland Neoplasms"	23209
C0036095	"Salivary Gland Neoplasms"	23543
C0036095	"Salivary Gland Neoplasms"	23619
C0036095	"Salivary Gland Neoplasms"	259266
C0036095	"Salivary Gland Neoplasms"	2620
C0036095	"Salivary Gland Neoplasms"	2621
C0036095	"Salivary Gland Neoplasms"	27344
C0036095	"Salivary Gland Neoplasms"	2982
C0036095	"Salivary Gland Neoplasms"	3485
C0036095	"Salivary Gland Neoplasms"	358
C0036095	"Salivary Gland Neoplasms"	3691
C0036095	"Salivary Gland Neoplasms"	3852
C0036095	"Salivary Gland Neoplasms"	3866
C0036095	"Salivary Gland Neoplasms"	4082
C0036095	"Salivary Gland Neoplasms"	50805
C0036095	"Salivary Gland Neoplasms"	51477
C0036095	"Salivary Gland Neoplasms"	51514
C0036095	"Salivary Gland Neoplasms"	51659
C0036095	"Salivary Gland Neoplasms"	5174
C0036095	"Salivary Gland Neoplasms"	5176
C0036095	"Salivary Gland Neoplasms"	53335
C0036095	"Salivary Gland Neoplasms"	54441
C0036095	"Salivary Gland Neoplasms"	54531
C0036095	"Salivary Gland Neoplasms"	5587
C0036095	"Salivary Gland Neoplasms"	57419
C0036095	"Salivary Gland Neoplasms"	5834
C0036095	"Salivary Gland Neoplasms"	595
C0036095	"Salivary Gland Neoplasms"	6484
C0036095	"Salivary Gland Neoplasms"	6651
C0036095	"Salivary Gland Neoplasms"	6659
C0036095	"Salivary Gland Neoplasms"	6664
C0036095	"Salivary Gland Neoplasms"	7153
C0036095	"Salivary Gland Neoplasms"	80303
C0036095	"Salivary Gland Neoplasms"	81029
C0036095	"Salivary Gland Neoplasms"	81831
C0036095	"Salivary Gland Neoplasms"	9454
C0036095	"Salivary Gland Neoplasms"	9700
C0036095	"Salivary Gland Neoplasms"	999
C0033941	"Psychoses, Substance-Induced"	135
C0033941	"Psychoses, Substance-Induced"	1636
C0033941	"Psychoses, Substance-Induced"	207
C0033941	"Psychoses, Substance-Induced"	2099
C0033941	"Psychoses, Substance-Induced"	2912
C0033941	"Psychoses, Substance-Induced"	2950
C0033941	"Psychoses, Substance-Induced"	3350
C0033941	"Psychoses, Substance-Induced"	3362
C0033941	"Psychoses, Substance-Induced"	4886
C0033941	"Psychoses, Substance-Induced"	4988
C0033941	"Psychoses, Substance-Induced"	5245
C0033941	"Psychoses, Substance-Induced"	6531
C0033941	"Psychoses, Substance-Induced"	6622
C0033941	"Psychoses, Substance-Induced"	6648
C0033941	"Psychoses, Substance-Induced"	816
C0033941	"Psychoses, Substance-Induced"	8787
C0033941	"Psychoses, Substance-Induced"	9463
C0043459	"Zellweger Syndrome"	3295
C0043459	"Zellweger Syndrome"	5189
C0043459	"Zellweger Syndrome"	5190
C0043459	"Zellweger Syndrome"	5192
C0043459	"Zellweger Syndrome"	5193
C0043459	"Zellweger Syndrome"	5194
C0043459	"Zellweger Syndrome"	5195
C0043459	"Zellweger Syndrome"	55670
C0043459	"Zellweger Syndrome"	5824
C0043459	"Zellweger Syndrome"	5825
C0043459	"Zellweger Syndrome"	5828
C0043459	"Zellweger Syndrome"	5830
C0043459	"Zellweger Syndrome"	8504
C0043459	"Zellweger Syndrome"	8799
C0043459	"Zellweger Syndrome"	9409
C0033860	"Psoriasis"	100271719
C0033860	"Psoriasis"	10318
C0033860	"Psoriasis"	10498
C0033860	"Psoriasis"	10547
C0033860	"Psoriasis"	10758
C0033860	"Psoriasis"	10866
C0033860	"Psoriasis"	117289
C0033860	"Psoriasis"	125893
C0033860	"Psoriasis"	1356
C0033860	"Psoriasis"	1401
C0033860	"Psoriasis"	140454
C0033860	"Psoriasis"	1437
C0033860	"Psoriasis"	149233
C0033860	"Psoriasis"	163702
C0033860	"Psoriasis"	23586
C0033860	"Psoriasis"	2524
C0033860	"Psoriasis"	2706
C0033860	"Psoriasis"	285626
C0033860	"Psoriasis"	29785
C0033860	"Psoriasis"	3107
C0033860	"Psoriasis"	338442
C0033860	"Psoriasis"	348
C0033860	"Psoriasis"	353143
C0033860	"Psoriasis"	353144
C0033860	"Psoriasis"	3553
C0033860	"Psoriasis"	3565
C0033860	"Psoriasis"	3569
C0033860	"Psoriasis"	3593
C0033860	"Psoriasis"	3596
C0033860	"Psoriasis"	359825
C0033860	"Psoriasis"	400957
C0033860	"Psoriasis"	4288
C0033860	"Psoriasis"	4792
C0033860	"Psoriasis"	4843
C0033860	"Psoriasis"	503613
C0033860	"Psoriasis"	5111
C0033860	"Psoriasis"	51561
C0033860	"Psoriasis"	51752
C0033860	"Psoriasis"	5271
C0033860	"Psoriasis"	54620
C0033860	"Psoriasis"	5468
C0033860	"Psoriasis"	55350
C0033860	"Psoriasis"	55770
C0033860	"Psoriasis"	55905
C0033860	"Psoriasis"	57178
C0033860	"Psoriasis"	5966
C0033860	"Psoriasis"	5972
C0033860	"Psoriasis"	5980
C0033860	"Psoriasis"	6278
C0033860	"Psoriasis"	63869
