Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID
ENSG00000210049	ENSG00000210049.1	
ENSG00000211459	ENSG00000211459.2	
ENSG00000210077	ENSG00000210077.1	
ENSG00000210082	ENSG00000210082.2	
ENSG00000209082	ENSG00000209082.1	
ENSG00000198888	ENSG00000198888.2	4535
ENSG00000210100	ENSG00000210100.1	
ENSG00000210107	ENSG00000210107.1	
ENSG00000210112	ENSG00000210112.1	
ENSG00000198763	ENSG00000198763.3	4536
ENSG00000210117	ENSG00000210117.1	
ENSG00000210127	ENSG00000210127.1	
ENSG00000210135	ENSG00000210135.1	
ENSG00000210140	ENSG00000210140.1	
ENSG00000210144	ENSG00000210144.1	
ENSG00000198804	ENSG00000198804.2	4512
ENSG00000210151	ENSG00000210151.2	113219467
ENSG00000210154	ENSG00000210154.1	
ENSG00000198712	ENSG00000198712.1	4513
ENSG00000210156	ENSG00000210156.1	
ENSG00000228253	ENSG00000228253.1	4509
ENSG00000198899	ENSG00000198899.2	4508
ENSG00000198938	ENSG00000198938.2	4514
ENSG00000210164	ENSG00000210164.1	
ENSG00000198840	ENSG00000198840.2	4537
ENSG00000210174	ENSG00000210174.1	
ENSG00000212907	ENSG00000212907.2	4539
ENSG00000198886	ENSG00000198886.2	4538
ENSG00000210176	ENSG00000210176.1	
ENSG00000210184	ENSG00000210184.1	
ENSG00000210191	ENSG00000210191.1	
ENSG00000198786	ENSG00000198786.2	4540
ENSG00000198695	ENSG00000198695.2	4541
ENSG00000210194	ENSG00000210194.1	
ENSG00000198727	ENSG00000198727.2	4519
ENSG00000210195	ENSG00000210195.2	
ENSG00000210196	ENSG00000210196.2	
ENSG00000278457	ENSG00000278457.1	
ENSG00000278704	ENSG00000278704.1	
ENSG00000271254	ENSG00000271254.7	102724250
ENSG00000280538	ENSG00000280538.1	
ENSG00000275151	ENSG00000275151.1	
ENSG00000278294	ENSG00000278294.1	124907156
ENSG00000278294	ENSG00000278294.1	124907485
ENSG00000278294	ENSG00000278294.1	124908250
ENSG00000281806	ENSG00000281806.1	
ENSG00000279969	ENSG00000279969.1	
ENSG00000281362	ENSG00000281362.1	339822
ENSG00000274882	ENSG00000274882.4	
ENSG00000277995	ENSG00000277995.1	
ENSG00000281486	ENSG00000281486.1	54221
ENSG00000262826	ENSG00000262826.5	65123
ENSG00000273735	ENSG00000273735.4	3812
ENSG00000280663	ENSG00000280663.4	55251
ENSG00000276433	ENSG00000276433.1	115653
ENSG00000276379	ENSG00000276379.1	3811
ENSG00000278788	ENSG00000278788.4	22904
ENSG00000273947	ENSG00000273947.5	3804
ENSG00000276595	ENSG00000276595.4	374308
